6094019|||||Lucebert|||||(Dutch, 1924 - 1994)|||||Het aanzoek|||||Lot 165 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  5,000 - 8,000 EUR|||||Materials: Oil on canvas Measurements: 35.47 in. (90.10 cm.) (height) by 47.32 in. (120.20 cm.) (width) Markings: Signed and dated 68 l.l. Titled on the stretcher Provenance: Galerie Espace, Amsterdam (circa 1975). Private collection, The Netherlands
6094020|||||Lucebert|||||(Dutch, 1924 - 1994)|||||Untitled|||||Lot 166 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  1,200 - 1,800 EUR|||||Materials: Oil and crayon on paper Measurements: 19.57 in. (49.70 cm.) (height) by 15.63 in. (39.70 cm.) (width) Markings: Signed and dated .93.III l.l. Provenance: Galerie Nouvelles Images, The Hague (1998) (incl. original invoice). Private collection, The Netherlands
6094021|||||Zoran Antonio Music|||||(Italian, 1909 - 2005)|||||Dolomites|||||Lot 18 - FidesArte, Venice (December 10, 2015)|||||Arte Moderna e Contemporanea (Sale 67)||||||||||Estimate:  800 - 1,000 EUR|||||Materials: etching Measurements: 13.39 in. (34.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Edition: 64 of 100 Markings: signed l.r.; editioned l.l. Literature: "Music l'Euvre Imprime" a cura di Denise FrAlaut ed. Terra Ferma Archivio Music Venezia pag. 103 tav. 250
6094022|||||Lucebert|||||(Dutch, 1924 - 1994)|||||Untitled|||||Lot 167 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  800 - 1,200 EUR|||||Materials: Ink and crayon on paper Measurements: 19.57 in. (49.70 cm.) (height) by 15.59 in. (39.60 cm.) (width) Markings: Signed and dated '92.XII.6 l.r. Provenance: Galerie Nouvelles Images, The Hague (1998) (incl. copy of invoice). Private collection, The Netherlands
6094023|||||Robert Hainard|||||(Swiss, 1906 - 1999)|||||Elstern und Eule|||||Lot 3516 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 400 - 600 CHF|||||Materials: color woodcut Measurements: 15.59 in. (39.60 cm.) (height) by 19.57 in. (49.70 cm.) (width) Edition: 22 of 45 Markings: signed in pencil l.r.; signed, inscribed 'Roches de Cartigny, 3 Juin 1955' and numbered in print l.l. Condition: minimally damaged margins; few creases
6094024|||||Hugo Rodolfo Demarco|||||(Argentine, 1932 - 1995)|||||Senza titolo|||||Lot 19 - FidesArte, Venice (December 10, 2015)|||||Arte Moderna e Contemporanea (Sale 67)||||||||||Estimate:  500 - 600 EUR|||||Materials: silkscreen Measurements: 27.56 in. (70.00 cm.) (height) by 27.56 in. (70.00 cm.) (width) Edition: EA Markings: signed l.r.; editioned l.l.; blindstamp 'Denise Rene' l.l.
6094025|||||Robert Hainard|||||(Swiss, 1906 - 1999)|||||BAr in der Nacht|||||Lot 3517 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 500 - 700 CHF|||||Materials: color woodcut Measurements: 15.71 in. (39.90 cm.) (height) by 19.69 in. (50.00 cm.) (width) Size Notes: sheet size Edition: 26 of 40 Markings: signed in pencil l.l.; signed, inscribed 'Stale, 5 Sept. 1955' and numbered in print l.r. Condition: minimally damaged margins; tiny holes on the upper margin; few creases
6094026|||||Edoardo Landi|||||(Italian, 1937)|||||Bispazio|||||Lot 20 - FidesArte, Venice (December 10, 2015)|||||Arte Moderna e Contemporanea (Sale 67)||||||||||Estimate:  400 - 500 EUR|||||Materials: silkscreen Measurements: 27.56 in. (70.00 cm.) (height) by 19.69 in. (50.00 cm.) (width) Edition: AP Markings: signed and dated l.r.; titled and editioned l.l. Condition: defects at above
6094027|||||Lucebert|||||(Dutch, 1924 - 1994)|||||Fantasy figure|||||Lot 168 - Arts & Antiques Group (AAG), Amsterdam (November 30, 2015)|||||Modern & Contemporary Art (Sale 469)||||||||||Estimate:  800 - 1,200 EUR|||||Materials: Watercolor, ink, crayon and pencil on paper Measurements: 16.50 in. (41.90 cm.) (height) by 11.73 in. (29.80 cm.) (width) Markings: Signed and dated 91.VII.29 l.r.
6094028|||||Robert Hainard|||||(Swiss, 1906 - 1999)|||||Fliegende Tauben|||||Lot 3518 - Schuler Auktionen, Zurich (December 07, 2015)|||||Auktion 139 (Sale 139)||||||||||Estimate: 400 - 600 CHF|||||Materials: color woodcut Measurements: 19.09 in. (48.50 cm.) (height) by 15.47 in. (39.30 cm.) (width) Size Notes: sheet size Edition: 63 of 73 Markings: signed in pencil l.l.; signed, inscribed 'Koprivnica, 28 Oct. 1961' and numbered in print l.r. Condition: minimally damaged margins; slightly foxed; few creases
