Burhan Cahit Dogancay|||||(Turkish, 1929 - 2013)|||||Walls 70 - 1|||||Lot 261 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 1,000 USD 894 EUR 656 GBP|||||Original Currency of Sale: $ 1,000 USD Hammer Estimate: $ 1,500 - 1,800 USD|||||Materials: lithograph Measurements: 30.00 in. (76.20 cm.) (height) by 22.00 in. (55.88 cm.) (width) Edition: ed. of 120 Markings: signed and numbered in pencil
Jonathan Lasker|||||(American, 1948)|||||Simple division|||||Lot 231 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||$ 16,250 USD 14,536 EUR 10,674 GBP|||||Original Currency of Sale: $ 16,250 USD Premium Estimate: $ 10,000 - 15,000 USD|||||Materials: oil on canvas Measurements: 16.00 in. (40.64 cm.) (height) by 11.75 in. (29.84 cm.) (width) Markings: signed and dated 'J. Lasker 2008', verso
Lukas Kilian|||||(German, 1579 - 1637)|||||Adam; Eve|||||Lot 234 - Dominic Winter, South Cerney (September 16, 2015)|||||Printed Books, Maps & Documents, Opera & History of Music (Sale )|||||$ 1,551 USD 1,371 EUR 1,000 GBP|||||Original Currency of Sale:   1,000 GBP Hammer Estimate:   1,000 - 1,500 GBP|||||Materials: engraving Measurements: 13.98 in. (35.50 cm.) (height) by 9.84 in. (25.00 cm.) (width) Size Notes: each approximately Description: two works in lot; originally published in 'Catoptrum Microcosmicum'; with animated 'flaps' after Johann Remmelin Markings: Latin and Dutch text verso (1); each has a small cartouche with a biblical quotation illustrating the brief mortality of mankind
Day Gleeson|||||(American, 1948)|||||Homeless-Ness at Work from Bullet Space, Your House is Mine|||||Lot 262 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 1,500 - 2,000 USD|||||Materials: silkscreen Measurements: 23.00 in. (58.42 cm.) (height) by 20.00 in. (50.80 cm.) (width) Edition: ed. of 150 Markings: signed in pencil
Peter Mayer|||||(American, 20th C)|||||Dog (Green on Red) (16)|||||Lot 263 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 2,000 - 2,500 USD|||||Materials: acrylic on canvas Measurements: 32.00 in. (81.28 cm.) (height) by 40.00 in. (101.60 cm.) (width)
Peter Mayer|||||(American, 20th C)|||||Joyce Wildenstein (Red/Black)|||||Lot 264 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 250 USD 223 EUR 164 GBP|||||Original Currency of Sale: $ 250 USD Hammer Estimate: $ 400 - 500 USD|||||Materials: Acrylic and Silkcreen on Canvas Measurements: 11.00 in. (27.94 cm.) (height) by 8.00 in. (20.32 cm.) (width)
Jon Naar|||||(American, British, 1920)|||||Toots from Faith of Graffiti|||||Lot 265 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 600 - 900 USD|||||Materials: silkscreen Measurements: 19.00 in. (48.26 cm.) (height) by 29.00 in. (73.66 cm.) (width) Size Notes: image; size: 24.5 x 34 in. Edition: ed. of 300 Markings: signed and numbered in pencil
Mimmo Rotella|||||(Italian, 1918 - 2006)|||||The Look|||||Lot 266 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||$ 425 USD 380 EUR 279 GBP|||||Original Currency of Sale: $ 425 USD Hammer Estimate: $ 700 - 900 USD|||||Materials: silkscreen Measurements: 30.00 in. (76.20 cm.) (height) by 23.00 in. (58.42 cm.) (width) Size Notes: image; size: 34.5 x 26 in. Edition: ed. of 300 Markings: signed and numbered in pencil
Mimmo Rotella|||||(Italian, 1918 - 2006)|||||Chiquita|||||Lot 267 - RoGallery.com, New York (September 24, 2015)|||||Modern & Contemporary Art|||||Bought In|||||Estimate: $ 600 - 900 USD|||||Materials: silkscreen Measurements: 25.50 in. (64.77 cm.) (height) by 23.00 in. (58.42 cm.) (width) Size Notes: image; size: 29.5 x 26 in. Edition: ed. of 300 Markings: signed and numbered in pencil
Charles Hinman|||||(American, 1932)|||||Untitled|||||Lot 233 - Wright, Chicago (September 24, 2015)|||||Art + Design (Sale )|||||$ 4,688 USD 4,193 EUR 3,079 GBP|||||Original Currency of Sale: $ 4,688 USD Premium Estimate: $ 3,000 - 5,000 USD|||||Materials: acrylic on canvas Measurements: 25.25 in. (64.14 cm.) (height) by 34.75 in. (88.26 cm.) (width) by 2.50 in. (6.35 cm.) (depth) Markings: signed, dated and inscribed 'Hinman 1971', verso
